Primagaz_status,id,classification,year,tarra
OK,1,ok,2039,10.66
OK,2,ok,2035,15.4
OK,3,ok,?,10.7?
OK,4,ok,2036,16.4
OK,5,ok,2035,10.5
OK,6,ok,2039,10.8
OK,7,ok,2034,15.4?
OK,8,ok,?,?
OK,9,ok,2033,10.9
OK,10,ok,2035,15.9
OK,11,ok,2039,10.8
OK,12,ok,2039,10.9
OK,13,ok,2039,11.1
OK,14,ok,2038?,15.5
OK,15,ok,2036,10.9
OK,16,ok,?,10.6?
OK,17,ok,2039,10.8
OK,18,ok,2037,10.6
OK,19,ok,2039,10.41
OK,20,ok,2027,10.5
OK,21,ok,2036,15.4
OK,22,ok,?,10.9
OK,23,ok,?,?
OK,24,ok,2033,10.4
OK,25,ok,2039,15.8
OK,26,ok,2025,15.5
OK,27,ok,?,?
OK,28,ok,2034,10.7
OK,29,ok,2027,16
NOK,30,ok,?,?
OK,31,ok,2031,15.3
OK,32,ok,?,16.3?
OK,33,ok,2029,10.8
OK,34,ok,?,10.9
OK,35,ok,2033,13.1
OK,36,ok,2033,10.8
OK,37,ok,2039,10.72
OK,38,ok,?,?
OK,39,ok,2039,10.9
OK,40,ok,?,?
OK,41,ok,2035?,15.6?
OK,42,ok,2028?2023?,15.6
NOK,43,ok,2027,16.2
OK,44,ok,2032,10.8
OK,45,ok,2035,14.8
OK,46,ok,2034,10.8
OK,47,ok,2032,15.6
OK,48,ok,?,16.6
OK,49,ok,2037,10.5
OK,50,ok,?,?
OK,51,ok,?,10.9
OK,52,ok,2037,10.6
OK,53,ok,2039,10.60
OK,54,ok,2025,10.9?
OK,55,ok,2027,15.6
OK,56,ok,2033,15.5
OK,57,ok,?,12.2
OK,58,ok,2029,15.3
OK,59,ok,2031,16.5
OK,60,ok,?,15.2
OK,61,ok,2039,11.6
OK,62,ok,2035,16.2
OK,63,ok,2035,16.5
OK,64,ok,2037,10.6
OK,65,ok,2034,12
OK,66,ok,2039,10.8
OK,67,ok,2039,10.6
OK,68,ok,2039,10.7
OK,69,ok,?,15.8?
OK,70,ok,?,15.9
OK,71,ok,2032,13.3
NOK,72,ok,2024,14.1
OK,73,ok,2033,10.5
OK,74,ok,2037,10.6
OK,75,ok,2027,15.6
OK,76,ok,2040,10.8
OK,77,ok,2036,15.9
OK,78,ok,2036,10.8
OK,79,ok,2039,10.7
OK,80,ok,2039,11
OK,81,ok,2033,10.6
OK,82,ok,2037,10.7
NOK,83,ok,2023,?
OK,84,ok,2039,10.8
OK,85,ok,2030,10.7
OK,86,ok,2039,10.6
OK,87,ok,2031,15.6
NOK,88,ok,2031,16.6
OK,89,ok,2036,15.7
OK,90,ok,2035,10.8
OK,91,ok,2035,10.6
OK,92,ok,2034,10.8
OK,93,ok,2035,16.4
OK,94,ok,2037,15.2
OK,95,ok,2039,15.6
OK,96,ok,2035,10.7
OK,97,ok,2027,10.5
OK,98,ok,2039,10.8
OK,99,ok,2025,10.9
OK,100,ok,2037,16.8
OK,101,ok,2037,10.8
OK,102,ok,2027,15.8
OK,103,ok,2038,10.9
OK,104,ok,2035,10.8
OK,105,ok,2035,15.3
OK,106,ok,2039,10.6
OK,107,ok,2034,10.8
NOK,108,nok,?,?
OK,109,ok,?,?
NOK,110,ok,?,?
OK,111,ok,?,?
OK,112,ok,2039,10.62
OK,113,ok,2034,10.7
OK,114,ok,2028,16.6
OK,115,ok,2036,16.5
OK,116,ok,2035,11.5
OK,117,ok,2036,10.6
OK,118,ok,2030,10.7
OK,119,ok,2025,10.8
OK,120,ok,2037,13.3?
OK,121,ok,2039,10.54
NOK,122,nok,?,?
OK,123,ok,2034,15.4
OK,124,ok,2027,10.6
OK,125,ok,2031,15.5
OK,126,ok,?,?
OK,127,ok,2036,10.6
OK,128,ok,?,?
OK,129,ok,2036,10.7
OK,130,ok,2039,11.1
OK,131,ok,2039,10.5
OK,132,ok,2039,10.4
OK,133,ok,2037,15.3
OK,134,ok,2034?,12.2
OK,135,ok,2036,10.7
OK,136,ok,2031,16.3
OK,137,ok,2032,15.7
OK,138,ok,?,10.8
OK,139,ok,2027,10.8
OK,140,ok,2031,15
OK,141,ok,2039,10.8
OK,142,ok,2036,15.7
OK,143,ok,2038,10.6
OK,144,ok,2035,16.4
OK,145,ok,2031,16
OK,146,ok,2036,15.3
OK,147,ok,2038,10.7
OK,148,ok,2037,10.8
OK,149,ok,2039,11
OK,150,ok,?,?
OK,151,ok,2027,10.9
OK,152,ok,2035,10.5
OK,153,ok,2034,15.9
OK,154,ok,2031,15.2
